session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
dateNodBlurLevel4,0,0.689530685920535,0.197212183789346,1.0,0.333333333333333,0.806859205776202,0.230769230769231
dateNodBlurLevel4,1,1.0,1.0,1.0,0.0
dateNodBlurLevel4,2,0.164423204363717,0.193380786404046,1.0,0.5,0.386480071547389,0.454545454545454
dateNodBlurLevel4,3,1.0,0.469806763284781,1.0,1.0,1.0,0.469806763284781
dateNodBlurLevel4,4,1.0,1.0,1.0,0.0
dateNodBlurLevel4,5,0.0,0.0,0.0,0.0,0.854925236845078,0.304347826086956
dateNodBlurLevel4,6,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,7,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,8,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,9,1.0,1.0,1.0,0.0
dateNodBlurLevel4,10,1.0,0.185892954245238,1.0,0.333333333333333,1.0,0.185892954245238
dateNodBlurLevel4,11,0.64329573034746,0.463642761631247,1.0,1.0,0.693740724091254,0.5
dateNodBlurLevel4,12,0.939093039551106,0.408805031446553,1.0,0.5,1.0,0.435318987820381
dateNodBlurLevel4,13,1.0,1.0,1.0,0.0
dateNodBlurLevel4,14,1.0,1.0,1.0,0.0
dateNodBlurLevel4,15,1.0,0.21176470588311,1.0,0.2,1.0,0.21176470588311
dateNodBlurLevel4,16,0.474358974358081,0.158119658119236,1.0,0.5,1.0,0.333333333333071
dateNodBlurLevel4,17,1.0,1.0,1.0,0.0
dateNodBlurLevel4,18,0.916581217701403,0.234340486373247,1.0,1.0,1.0,0.255667999570103
dateNodBlurLevel4,19,1.0,1.0,1.0,0.0
dateNodBlurLevel4,overall,0.620408683486666,0.0162545048411881,0.923076923076923,0.307692307692308,0.803974619069491,0.0210638723887853
dateNodBlurLevel6,0,0.467366841710425,0.148829431438127,1.0,0.333333333333333,1.0,0.318442427138081
dateNodBlurLevel6,1,0.571428571428496,0.363636363636368,1.0,1.0,1.0,0.636363636363729
dateNodBlurLevel6,2,0.801948887106678,0.284359172461137,1.0,1.0,1.0,0.354585157524273
dateNodBlurLevel6,3,0.484355963467859,0.5,0.5,1.0,0.484355963467859,0.5
dateNodBlurLevel6,4,0.835444037537957,0.349176189210745,1.0,1.0,1.0,0.417952817330246
dateNodBlurLevel6,5,0.354523630783515,0.0652610834833474,0.4,0.5,0.354523630783515,0.0652610834833474
dateNodBlurLevel6,6,0.0,1.0,0.0,1.0,0.0,1.0
dateNodBlurLevel6,7,0.0,1.0,0.0,1.0,0.0,1.0
dateNodBlurLevel6,8,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel6,9,1.0,0.7105807341029,1.0,1.0,1.0,0.7105807341029
dateNodBlurLevel6,10,1.0,0.311002404444053,1.0,0.333333333333333,1.0,0.311002404444053
dateNodBlurLevel6,11,1.0,0.227410198183933,1.0,1.0,1.0,0.227410198183933
dateNodBlurLevel6,12,0.577454587434721,0.168804579450952,0.5,0.5,1.0,0.29232528951038
dateNodBlurLevel6,13,0.801782401271875,0.343729050438378,1.0,1.0,0.961588921282229,0.412239089184407
dateNodBlurLevel6,14,0.478798657989119,0.0855654761904644,0.5,0.5,1.0,0.178708680074055
dateNodBlurLevel6,15,0.676057745512515,0.212557077625553,1.0,0.8,0.676057745512515,0.212557077625553
