session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
dateNodBlurLevel4,0,0.705167173252251,0.200518582541038,1.0,0.333333333333333,0.811550151975716,0.230769230769231
dateNodBlurLevel4,1,1.0,1.0,1.0,0.0
dateNodBlurLevel4,2,0.170743169318652,0.092837465564728,0.5,0.5,0.895459919081886,0.486884656845111
dateNodBlurLevel4,3,1.0,0.408026755853041,1.0,1.0,1.0,0.408026755853041
dateNodBlurLevel4,4,1.0,1.0,1.0,0.0
dateNodBlurLevel4,5,0.0,0.0,0.0,0.0,1.0,0.27451074906
dateNodBlurLevel4,6,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,7,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,8,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,9,1.0,1.0,1.0,0.0
dateNodBlurLevel4,10,1.0,0.1842878120412,1.0,0.333333333333333,1.0,0.1842878120412
dateNodBlurLevel4,11,0.64131685976087,0.462741140714999,1.0,1.0,0.692954227897208,0.5
dateNodBlurLevel4,12,0.974870657799458,0.40262515262539,1.0,0.5,1.0,0.413003663003071
dateNodBlurLevel4,13,1.0,1.0,1.0,0.0
dateNodBlurLevel4,14,1.0,1.0,1.0,0.0
dateNodBlurLevel4,15,1.0,0.193939393940218,1.0,0.2,1.0,0.193939393940218
dateNodBlurLevel4,16,0.458333333331541,0.149321266967314,1.0,0.5,1.0,0.325791855202687
dateNodBlurLevel4,17,1.0,1.0,1.0,0.0
dateNodBlurLevel4,18,0.92899721198274,0.23108297718515,1.0,1.0,1.0,0.248744532496448
dateNodBlurLevel4,19,1.0,1.0,1.0,0.0
dateNodBlurLevel4,overall,0.638100877674847,0.0146267311576422,0.857142857142857,0.307692307692308,0.894175446474211,0.0204965457985273
dateNodBlurLevel6,0,0.445145018915508,0.134424980959634,1.0,0.333333333333333,1.0,0.301980198019804
dateNodBlurLevel6,1,0.599999999999889,0.363636363636368,1.0,1.0,1.0,0.606060606060726
dateNodBlurLevel6,2,0.799107142856957,0.290584415584385,1.0,1.0,1.0,0.36363636363641
dateNodBlurLevel6,3,0.481389299749075,0.5,0.5,1.0,0.481389299749075,0.5
dateNodBlurLevel6,4,0.83978220269822,0.353007518796993,1.0,1.0,1.0,0.42035603715199
dateNodBlurLevel6,5,0.354640739330845,0.0647029159751305,0.4,0.5,0.354640739330845,0.0647029159751305
dateNodBlurLevel6,6,0.0,1.0,0.0,1.0,0.0,1.0
dateNodBlurLevel6,7,0.0,1.0,0.0,1.0,0.0,1.0
dateNodBlurLevel6,8,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel6,9,1.0,0.693877551020716,1.0,1.0,1.0,0.693877551020716
dateNodBlurLevel6,10,1.0,0.289379377748574,1.0,0.333333333333333,1.0,0.289379377748574
dateNodBlurLevel6,11,1.0,0.217453917051244,1.0,1.0,1.0,0.217453917051244
dateNodBlurLevel6,12,0.574868786662544,0.165776353276344,0.5,0.5,1.0,0.288372507122495
dateNodBlurLevel6,13,0.788832787090169,0.334851475220585,1.0,1.0,0.948218126920785,0.40250892689382
dateNodBlurLevel6,14,0.479074889868,0.085227272727345,0.5,0.5,1.0,0.177899686520468
dateNodBlurLevel6,15,0.657904476436768,0.211627906976777,1.0,0.8,0.657904476436768,0.211627906976777
dateNodBlurLevel6,16,0.5696090594115,0.241752451973337,0.666666666666667,1.0,0.677434990139933,0.287515739458331
dateNodBlurLevel6,17,0.924444620867371,0.807359910790569,1.0,0.5,0.94295905042706,0.823529411764704
dateNodBlurLevel6,18,0.718629716869971,0.132861224227646,0.75,1.0,0.718629716869971,0.132861224227646
dateNodBlurLevel6,19,0.886175115206957,0.312378167641398,1.0,1.0,1.0,0.352501624431697
dateNodBlurLevel6,overall,0.633740611626257,0.0136942541346743,0.743589743589744,0.743589743589744,0.782185717568667,0.0169019466330412
dateNodBlurLevel10,0,0.862443832439474,0.222829750580488,1.0,0.666666666666667,0.921800260907337,0.238165680473373
dateNodBlurLevel10,1,1.0,1.0,1.0,0.0
dateNodBlurLevel10,2,0.842541436464263,0.454545454545454,1.0,0.5,1.0,0.539493293591542
dateNodBlurLevel10,3,0.702096900906415,1.0,1.0,1.0,0.702096900906415,1.0
dateNodBlurLevel10,4,1.0,1.0,1.0,0.0
dateNodBlurLevel10,5,0.483018061482816,0.120797100512715,1.0,0.5,1.0,0.250088164699017
dateNodBlurLevel10,6,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel10,7,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel10,8,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel10,9,0.834567270872562,0.464214711731439,1.0,1.0,1.0,0.556234024425725
dateNodBlurLevel10,10,0.939812522099536,0.228787570511586,1.0,1.0,0.939812522099536,0.228787570511586
dateNodBlurLevel10,11,0.925622816459679,0.274521693227325,1.0,1.0,1.0,0.296580516756615
dateNodBlurLevel10,12,0.653660341226654,0.178903481342691,0.666666666666667,1.0,0.653660341226654,0.178903481342691
dateNodBlurLevel10,13,1.0,0.238445378151612,1.0,1.0,1.0,0.238445378151612
dateNodBlurLevel10,14,1.0,0.246350364964055,1.0,0.5,1.0,0.246350364964055
dateNodBlurLevel10,15,0.818726351031656,0.16318527550049,1.0,1.0,0.897388699117555,0.178863941428047
dateNodBlurLevel10,16,0.498829039812841,0.115384615384619,1.0,0.5,1.0,0.231310942578465
dateNodBlurLevel10,17,0.929624802798407,0.197923360009254,1.0,1.0,0.970917072502194,0.206714761376322
dateNodBlurLevel10,18,0.676868966082287,0.159873794199693,0.75,1.0,0.755435601079153,0.178430925142115
dateNodBlurLevel10,19,0.740218428278854,0.362010137320532,1.0,1.0,0.982133813659552,0.480320920375807
dateNodBlurLevel10,overall,0.783756754524846,0.0150887425215374,0.9375,0.769230769230769,0.933621419489294,0.0179739098003775
interview_level10_facetouch,0,0.865452076496543,0.830266514682739,1.0,1.0,1.0,0.959344297888522
interview_level10_facetouch,1,1.0,0.919857456971719,1.0,1.0,1.0,0.919857456971719
interview_level10_facetouch,2,0.410401002506254,0.487506645401401,1.0,1.0,0.841836734693821,1.0
interview_level10_facetouch,3,0.415367820404155,0.191614371846928,0.5,1.0,0.434477785295066,0.200430037718747
interview_level10_facetouch,4,0.916480220631007,0.477426762492638,1.0,1.0,0.959812365614022,0.5
interview_level10_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_facetouch,overall,0.802268123838462,0.0974465111402723,0.777777777777778,1.0,0.838052825008116,0.101793055864617
interview_level10_openbody,0,0.0,1.0,0.0,1.0,0.0,1.0
interview_level10_openbody,1,1.0,0.688791817600683,1.0,1.0,1.0,0.688791817600683
interview_level10_openbody,2,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_openbody,3,0.936577791085425,0.95553424268261,1.0,1.0,0.98016141049643,1.0
interview_level10_openbody,4,0.949050861033235,0.678863029338367,1.0,1.0,1.0,0.715307321463558
interview_level10_openbody,5,0.932744258674286,1.0,1.0,1.0,0.932744258674286,1.0
interview_level10_openbody,overall,0.857285719173327,0.138429163251742,0.666666666666667,1.0,0.857285719173327,0.138429163251742
interview_level10_smile,0,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_smile,1,1.0,0.3529605263158,1.0,1.0,1.0,0.3529605263158
interview_level10_smile,2,1.0,0.541847687196247,1.0,1.0,1.0,0.541847687196247
interview_level10_smile,3,0.99663099371975,0.120138516741791,1.0,1.0,1.0,0.12054463236528
interview_level10_smile,4,0.787815295565158,0.128841843654925,0.333333333333333,1.0,0.787815295565158,0.128841843654925
interview_level10_smile,5,0.0,1.0,0.0,1.0,0.0,1.0
interview_level10_smile,overall,0.743192641426259,0.0401402044062426,0.625,1.0,0.743192641426259,0.0401402044062426
interview_level10_eyeContact,0,0.813656371342539,0.107615877826773,0.285714285714286,1.0,0.813656371342539,0.107615877826773
interview_level10_eyeContact,1,0.904224902105683,0.386478899901591,1.0,0.666666666666667,0.904224902105683,0.386478899901591
interview_level10_eyeContact,2,0.822401284372621,0.298019642753381,0.666666666666667,0.5,0.822401284372621,0.298019642753381
interview_level10_eyeContact,3,0.519753573195459,0.300776356964859,0.333333333333333,1.0,0.527689063379023,0.305368548247872
interview_level10_eyeContact,4,0.697974089934317,0.173332648348513,0.6,0.75,0.697974089934317,0.173332648348513
interview_level10_eyeContact,5,0.810448094067186,0.186144786717019,1.0,1.0,0.870077063124893,0.199840446943327
interview_level10_eyeContact,overall,0.796148187769505,0.0335308655028648,0.6,0.789473684210526,0.796148187769505,0.0335308655028648
interview_level10_headturn,0,0.594941628124249,0.259473831514133,0.666666666666667,1.0,0.594941628124249,0.259473831514133
interview_level10_headturn,1,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_headturn,2,0.0,0.0,0.0,0.0,0.915517241379336,1.0
interview_level10_headturn,3,0.736306453072614,0.29223421986583,1.0,1.0,0.818666847678369,0.324922410448728
interview_level10_headturn,4,1.0,0.787829518259206,1.0,1.0,1.0,0.787829518259206
