session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
dateNodBlurLevel4,0,0.784753363228699,0.972222222222222,1.0,0.333333333333333,0.784753363228699,0.972222222222222
dateNodBlurLevel4,1,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel4,2,0.984375,0.497368421052632,0.5,0.5,0.989583333333333,0.5
dateNodBlurLevel4,3,1.0,0.992931196983977,1.0,1.0,1.0,0.992931196983977
dateNodBlurLevel4,4,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel4,5,0.9824,0.979578813018507,1.0,0.25,0.9824,0.979578813018507
dateNodBlurLevel4,6,1.0,1.0,0.0,0.0,1.0,1.0
dateNodBlurLevel4,7,1.0,1.0,0.0,0.0,1.0,1.0
dateNodBlurLevel4,8,1.0,1.0,0.0,0.0,1.0,1.0
dateNodBlurLevel4,9,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel4,10,1.0,0.990667976424362,1.0,0.333333333333333,1.0,0.990667976424362
dateNodBlurLevel4,11,0.99985373701916,0.334802625134685,0.666666666666667,1.0,0.99985373701916,0.334802625134685
dateNodBlurLevel4,12,1.0,0.995169712793734,1.0,0.5,1.0,0.995169712793734
dateNodBlurLevel4,13,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel4,14,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel4,15,0.949290484140234,0.999560536145902,1.0,0.2,0.949290484140234,0.999560536145902
dateNodBlurLevel4,16,0.999796209496638,0.997154471544715,1.0,0.5,0.999796209496638,0.997154471544715
dateNodBlurLevel4,17,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel4,18,0.99908282124186,0.332387403881362,1.0,1.0,1.0,0.332692542414256
dateNodBlurLevel4,19,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel4,overall,11.5282251786239,0.25137349579388,0.6,0.357142857142857,11.5282251786239,0.25137349579388
dateNodBlurLevel6,0,1.0,0.755555555555556,1.0,0.333333333333333,1.0,0.755555555555556
dateNodBlurLevel6,1,0.993339676498573,1.0,1.0,1.0,0.993339676498573,1.0
dateNodBlurLevel6,2,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel6,3,0.983317886932345,0.5,0.5,1.0,0.983317886932345,0.5
dateNodBlurLevel6,4,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel6,5,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel6,6,0.0,1.0,0.0,0.0,0.0,1.0
dateNodBlurLevel6,7,0.0,1.0,0.0,0.0,0.0,1.0
dateNodBlurLevel6,8,1.0,1.0,0.0,0.0,1.0,1.0
dateNodBlurLevel6,9,1.0,0.998155600268276,1.0,1.0,1.0,0.998155600268276
dateNodBlurLevel6,10,1.0,0.991159135559921,1.0,0.333333333333333,1.0,0.991159135559921
dateNodBlurLevel6,11,1.0,0.497355274757567,1.0,1.0,1.0,0.497355274757567
dateNodBlurLevel6,12,1.0,0.49654046997389,1.0,1.0,1.0,0.49654046997389
dateNodBlurLevel6,13,0.998788466198207,0.499031476997579,1.0,1.0,0.998788466198207,0.499031476997579
dateNodBlurLevel6,14,1.0,0.49518449756324,0.5,0.5,1.0,0.49518449756324
dateNodBlurLevel6,15,0.995173851047493,0.249203471764447,1.0,0.8,0.996709443896018,0.249588002636783
dateNodBlurLevel6,16,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel6,17,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel6,18,0.99853237937993,0.249130355181252,0.75,1.0,0.99853237937993,0.249130355181252
dateNodBlurLevel6,19,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel6,overall,11.8756515463366,0.270315985197966,0.774193548387097,0.571428571428571,11.8756515463366,0.270315985197966
dateNodBlurLevel10,0,0.974683544303797,0.427777777777778,1.0,0.666666666666667,0.974683544303797,0.427777777777778
dateNodBlurLevel10,1,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel10,2,0.954174513496547,1.0,1.0,0.5,0.954174513496547,1.0
dateNodBlurLevel10,3,1.0,0.997172478793591,1.0,1.0,1.0,0.997172478793591
dateNodBlurLevel10,4,1.0,0.0,0.0,0.0,1.0,0.0
dateNodBlurLevel10,5,0.990916955017301,0.487343118485427,1.0,0.5,1.0,0.491810253137629
dateNodBlurLevel10,6,1.0,1.0,0.0,0.0,1.0,1.0
dateNodBlurLevel10,7,1.0,1.0,0.0,0.0,1.0,1.0
dateNodBlurLevel10,8,1.0,1.0,0.0,0.0,1.0,1.0
dateNodBlurLevel10,9,1.0,0.997652582159624,1.0,1.0,1.0,0.997652582159624
dateNodBlurLevel10,10,1.0,0.0,0.0,0.0,1.0,0.0
