session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
dateNodBlurLevel4,0,0.155440414507775,0.0641025641025641,0.333333333333333,0.333333333333333,0.668393782383433,0.275641025641026
dateNodBlurLevel4,1,0.0,0.0,0.0,0.0,0.0,0.0
dateNodBlurLevel4,2,0.106194690265486,0.0340909090909087,0.25,1.0,0.106194690265486,0.0340909090909087
dateNodBlurLevel4,3,0.0,0.0,0.0,0.0,0.521739130434781,0.130434782608695
dateNodBlurLevel4,4,0.0,0.0,0.0,0.0,1.0,0.283333333333005
dateNodBlurLevel4,5,0.0,0.0,0.0,0.0,0.408163265306128,0.326086956521741
dateNodBlurLevel4,6,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,7,1.0,1.0,1.0,1.0,1.0,1.0
dateNodBlurLevel4,8,0.0,1.0,0.0,1.0,0.0,1.0
dateNodBlurLevel4,9,1.0,1.0,1.0,0.0
dateNodBlurLevel4,10,0.884615384615403,0.136904761904766,1.0,0.666666666666667,1.0,0.154761904761907
dateNodBlurLevel4,11,0.0,0.0,0.0,0.0,1.0,0.607142857142851
dateNodBlurLevel4,12,0.120689655172423,0.0129629629629638,0.111111111111111,0.333333333333333,0.120689655172423,0.0129629629629638
dateNodBlurLevel4,13,0.0,0.0,0.0,0.0,1.0,0.208333333333229
dateNodBlurLevel4,14,1.0,1.0,1.0,0.0
dateNodBlurLevel4,15,0.21052631578948,0.033333333333335,0.5,0.2,0.859649122806987,0.136111111111109
dateNodBlurLevel4,16,1.0,0.34444444444434,1.0,0.333333333333333,1.0,0.34444444444434
dateNodBlurLevel4,17,1.0,1.0,1.0,0.0
dateNodBlurLevel4,18,0.758823529411878,0.217171717171722,1.0,1.0,0.929411764705859,0.265993265993225
dateNodBlurLevel4,19,0.888888888888861,0.347826086956509,1.0,0.333333333333333,0.888888888888861,0.347826086956509
dateNodBlurLevel4,overall,0.20289855072464,0.00346244131455391,0.3,0.27906976744186,0.782117415868327,0.0133467471495633
dateNodBlurLevel6,0,0.17391304347826,0.0384615384615383,1.0,0.666666666666667,1.0,0.221153846153846
dateNodBlurLevel6,1,0.0,0.0,0.0,0.0,1.0,0.727272727272724
dateNodBlurLevel6,2,0.837209302325608,0.272727272727276,1.0,1.0,1.0,0.32575757575757
dateNodBlurLevel6,3,0.0,0.0,0.0,0.0,0.565573770491756,0.5
dateNodBlurLevel6,4,0.0322580645161338,0.0133333333333354,0.333333333333333,0.5,0.314516129032256,0.13
dateNodBlurLevel6,5,0.430379746835442,0.061594202898551,0.333333333333333,0.5,0.430379746835442,0.061594202898551
