session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
interview_level10_facetouch,0,0.833333333333334,0.869565217391304,1.0,1.0,0.958333333333334,1.0
interview_level10_facetouch,1,1.0,0.909090909090912,1.0,1.0,1.0,0.909090909090912
interview_level10_facetouch,2,0.769230769230771,0.666666666666667,1.0,1.0,1.0,0.866666666666665
interview_level10_facetouch,3,0.870967741935687,0.830769230769169,0.75,1.0,0.887096774193673,0.846153846153705
interview_level10_facetouch,4,0.898734177215431,0.986111111110974,1.0,1.0,0.911392405063662,1.0
interview_level10_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_facetouch,overall,0.920138888889001,0.895270270270227,0.888888888888889,1.0,0.935763888889037,0.910472972972962
interview_level6_facetouch,0,0.92,1.0,1.0,1.0,0.92,1.0
interview_level6_facetouch,1,1.0,0.793388429752056,0.5,1.0,1.0,0.793388429752056
interview_level6_facetouch,2,0.57142857142857,0.533333333333331,1.0,1.0,1.0,0.933333333333332
interview_level6_facetouch,3,0.887323943662108,0.969230769230624,1.0,1.0,0.915492957746616,0.999999999999847
interview_level6_facetouch,4,0.909090909091169,0.972222222222228,1.0,1.0,0.935064935065197,1.0
interview_level6_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level6_facetouch,overall,0.918727915194452,0.878378378378354,0.888888888888889,1.0,0.918727915194452,0.878378378378354
interview_level5_facetouch,0,0.88,0.956521739130434,1.0,1.0,0.92,1.0
interview_level5_facetouch,1,0.967741935483872,0.991735537190066,1.0,1.0,0.97580645161292,1.0
interview_level5_facetouch,2,0.846153846153844,0.733333333333334,1.0,1.0,1.0,0.866666666666669
interview_level5_facetouch,3,0.921052631579279,0.538461538461505,1.0,0.666666666666667,0.921052631579279,0.538461538461505
interview_level5_facetouch,4,0.867469879518207,1.0,1.0,1.0,0.867469879518209,1.0
interview_level5_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level5_facetouch,overall,0.918727915194429,0.878378378378355,1.0,0.875,0.932862190812811,0.891891891891873
interview_level4_facetouch,0,0.92,1.0,1.0,1.0,0.92,1.0
interview_level4_facetouch,1,1.0,0.892561983471061,1.0,1.0,1.0,0.892561983471061
