session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
interview_level10_facetouch,0,0.864614431810965,0.828333515052695,1.0,1.0,1.0,0.958038039357869
interview_level10_facetouch,1,1.0,0.895814099103273,1.0,1.0,1.0,0.895814099103273
interview_level10_facetouch,2,0.343656750158283,0.487712544113,1.0,1.0,0.704629713355619,1.0
interview_level10_facetouch,3,0.832224409185009,0.833567172046908,0.75,1.0,0.852886080930083,0.854262180624184
interview_level10_facetouch,4,0.917815101247778,0.954282892818749,1.0,1.0,0.96178513536667,1.0
interview_level10_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_facetouch,overall,0.883329281742995,0.870442903599331,0.888888888888889,1.0,0.921360395754583,0.907919203764591
interview_level6_facetouch,0,0.945728643216095,0.951466127401391,1.0,1.0,0.993969849246272,1.0
interview_level6_facetouch,1,1.0,0.89577891004005,1.0,1.0,1.0,0.89577891004005
interview_level6_facetouch,2,0.589099991810664,0.444248880654598,1.0,1.0,1.0,0.754114559209465
interview_level6_facetouch,3,0.912853111449505,0.941021708677692,1.0,1.0,0.93537868408795,0.964242369907092
interview_level6_facetouch,4,0.867715566638522,0.981747299820276,1.0,1.0,0.883848182518427,1.0
interview_level6_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level6_facetouch,overall,0.922695997541805,0.908070671979753,1.0,1.0,0.952176119840118,0.937083515361314
interview_level5_facetouch,0,0.905044715306781,0.983268934988913,1.0,1.0,0.920444736024316,1.0
interview_level5_facetouch,1,0.970038287110078,0.983611779013115,1.0,1.0,0.986200356489573,1.0
interview_level5_facetouch,2,0.843583306620352,0.733446067609265,1.0,1.0,1.0,0.869441182457332
interview_level5_facetouch,3,0.819189742646043,0.538461538461538,1.0,0.666666666666667,0.819189742646043,0.538461538461538
interview_level5_facetouch,4,0.88756515264342,1.0,1.0,1.0,0.88756515264342,1.0
interview_level5_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level5_facetouch,overall,0.91237716739143,0.87714156006578,1.0,0.875,0.927866282535123,0.892032492354257
interview_level4_facetouch,0,0.966444981862158,1.0,1.0,1.0,0.966444981862158,1.0
interview_level4_facetouch,1,1.0,0.900273656377248,1.0,1.0,1.0,0.900273656377248
interview_level4_facetouch,2,1.0,0.571447836214332,1.0,1.0,1.0,0.571447836214332
interview_level4_facetouch,3,0.833209646986527,0.952202653054155,1.0,1.0,0.875033948197936,1.0
interview_level4_facetouch,4,0.88877916074117,0.991824813008192,1.0,1.0,0.896104986570676,1.0
interview_level4_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level4_facetouch,overall,0.925238173530902,0.925031719425581,1.0,1.0,0.93772555794135,0.937516317448858
interview_level3_facetouch,0,0.862840847561649,0.993454903336391,1.0,1.0,0.868525430458804,1.0
interview_level3_facetouch,1,1.0,0.966776514889107,1.0,1.0,1.0,0.966776514889107
interview_level3_facetouch,2,0.984226480459053,0.719789398677799,1.0,1.0,1.0,0.731324967340934
interview_level3_facetouch,3,0.836761643896194,0.91432737234563,1.0,1.0,0.915166349826706,1.0
interview_level3_facetouch,4,0.906138750926106,0.978095760532777,1.0,1.0,0.926431528987025,1.0
interview_level3_facetouch,5,0.0,1.0,0.0,1.0,0.0,1.0
interview_level3_facetouch,overall,0.869868271405935,0.947569040605784,0.888888888888889,1.0,0.893033492369115,0.972803489228703
interview_level10_openbody,0,0.794821696281543,0.724615600056033,1.0,1.0,0.933396208639506,0.850949913644233
interview_level10_openbody,1,1.0,0.660286148288053,1.0,1.0,1.0,0.660286148288053
interview_level10_openbody,2,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_openbody,3,0.938865346568851,0.949703785144132,1.0,1.0,0.988587558831687,1.0
interview_level10_openbody,4,0.946953438614999,0.688424797758173,1.0,1.0,1.0,0.726989067978943
interview_level10_openbody,5,0.931899020745264,1.0,1.0,1.0,0.931899020745264,1.0
interview_level10_openbody,overall,0.929775806357899,0.819132345372515,1.0,1.0,0.966929603796817,0.851864835320657
interview_level6_openbody,0,0.363176582126952,0.706517226919233,1.0,1.0,0.513932434384045,0.9997949654087
interview_level6_openbody,1,0.919115970917051,0.914646242016105,1.0,1.0,1.0,0.995136926087264
interview_level6_openbody,2,0.0,1.0,0.0,1.0,0.0,1.0
interview_level6_openbody,3,0.883159007759384,1.0,1.0,1.0,0.883159007759384,1.0
interview_level6_openbody,4,0.939201521025204,0.717766757731538,1.0,1.0,1.0,0.764230829767018
interview_level6_openbody,5,0.888298481607302,1.0,1.0,1.0,0.888298481607302,1.0
interview_level6_openbody,overall,0.641467054437813,0.866018824622229,0.857142857142857,1.0,0.641467054437813,0.866018824622229
interview_level5_openbody,0,0.0788412390876937,0.5,0.5,0.5,0.221998935216871,1.40788588425117
interview_level5_openbody,1,1.0,0.860915793264239,1.0,1.0,1.0,0.860915793264239
interview_level5_openbody,2,1.0,1.0,1.0,1.0,1.0,1.0
interview_level5_openbody,3,0.530098447409543,0.483271502542173,0.5,1.0,0.530098447409543,0.483271502542173
interview_level5_openbody,4,0.93443794828902,0.592661611953077,1.0,1.0,1.0,0.634243946361827
interview_level5_openbody,5,1.0,0.974844456397033,1.0,1.0,1.0,0.974844456397033
interview_level5_openbody,overall,0.52503290471715,0.712922143806573,0.714285714285714,0.833333333333333,0.588718631078419,0.799398561111912
interview_level4_openbody,0,1.0,0.0,1.0,0.0,1.0,0.0
interview_level4_openbody,1,0.922941853650831,0.957820134080395,1.0,1.0,0.963585772329738,1.0
interview_level4_openbody,2,1.0,1.0,1.0,1.0,1.0,1.0
interview_level4_openbody,3,1.0,0.723333576274564,1.0,1.0,1.0,0.723333576274564
interview_level4_openbody,4,0.857452617363091,1.0,1.0,1.0,0.857452617363091,1.0
interview_level4_openbody,5,1.0,0.78425470520978,1.0,1.0,1.0,0.78425470520978
interview_level4_openbody,overall,0.923394993473558,0.793002225818042,1.0,0.666666666666667,0.929435083632804,0.79818939379521
interview_level3_openbody,0,1.0,0.0,1.0,0.0,1.0,0.0
interview_level3_openbody,1,0.850555981595089,1.0,1.0,1.0,0.850555981595089,1.0
interview_level3_openbody,2,0.0,1.0,0.0,1.0,0.0,1.0
interview_level3_openbody,3,1.0,0.453128722683261,1.0,1.0,1.0,0.453128722683261
interview_level3_openbody,4,0.93268577487318,0.714673691752597,1.0,1.0,1.0,0.766253448917212
interview_level3_openbody,5,0.877710675128755,0.227938974366376,1.0,1.0,1.0,0.259697165393298
interview_level3_openbody,overall,0.716393638802901,0.498098484961295,0.8,0.666666666666667,0.824631974864613,0.573355087319127
interview_level10_eyeContact,0,0.905689937323224,0.764165990306789,0.571428571428571,1.0,0.905689937323224,0.764165990306789
interview_level10_eyeContact,1,0.905509472221881,0.784578943210117,1.0,0.666666666666667,0.905509472221881,0.784578943210117
interview_level10_eyeContact,2,0.856722996791415,0.895705870962885,1.0,0.6,0.856722996791415,0.895705870962885
interview_level10_eyeContact,3,1.0,0.8561885315051,1.0,1.0,1.0,0.8561885315051
interview_level10_eyeContact,4,0.813229123645262,0.884293190254141,0.8,0.8,0.813229123645262,0.884293190254141
interview_level10_eyeContact,5,0.783501674834393,0.93209555069702,1.0,1.0,0.840209930915992,0.999558728989037
interview_level10_eyeContact,overall,0.864320048473357,0.844499563659908,0.84,0.84,0.864320048473357,0.844499563659908
interview_level6_eyeContact,0,0.95917874600462,0.688010447212208,1.0,0.5,0.997059388072775,0.715181897370541
interview_level6_eyeContact,1,0.976473850696873,0.597347572353299,1.0,0.333333333333333,0.984633548370075,0.60233918128655
interview_level6_eyeContact,2,0.841454574877681,0.924285002113544,1.0,0.4,0.841454574877681,0.924285002113544
interview_level6_eyeContact,3,0.615503908792152,0.59637895684447,1.0,0.333333333333333,0.615503908792152,0.59637895684447
interview_level6_eyeContact,4,0.629869386227517,0.619010529402658,1.0,0.6,0.715569163440108,0.703232854891096
interview_level6_eyeContact,5,0.657274020026442,0.560166434721443,1.0,0.2,0.672814504498987,0.573410922584328
interview_level6_eyeContact,overall,0.809960762125088,0.698365244008166,1.0,0.4,0.817575208518524,0.704930580209869
interview_level5_eyeContact,0,0.76440527217381,0.532255652059487,1.0,0.75,0.853659629542523,0.594403491575738
