session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
interview_level10_facetouch,0,0.865452076496543,0.830266514682739,1.0,1.0,1.0,0.959344297888522
interview_level10_facetouch,1,1.0,0.919857456971719,1.0,1.0,1.0,0.919857456971719
interview_level10_facetouch,2,0.410401002506254,0.487506645401401,1.0,1.0,0.841836734693821,1.0
interview_level10_facetouch,3,0.839277168953221,0.833902585346937,0.75,1.0,0.858387133844138,0.852890173378553
interview_level10_facetouch,4,0.916480220631007,0.954853524985276,1.0,1.0,0.959812365614022,1.0
interview_level10_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_facetouch,overall,0.89641921512224,0.880623661009435,0.888888888888889,1.0,0.933460716509463,0.917012464384711
interview_level6_facetouch,0,0.94392523364486,0.954631379962217,1.0,1.0,0.988785046728947,1.0
interview_level6_facetouch,1,1.0,0.897339039497148,1.0,1.0,1.0,0.897339039497148
interview_level6_facetouch,2,0.577369557248213,0.442208703790399,1.0,1.0,1.0,0.765902355326801
interview_level6_facetouch,3,0.913034175939113,0.945566872217215,1.0,1.0,0.936527354215711,0.969897145592354
interview_level6_facetouch,4,0.870485202039637,0.981980980217777,1.0,1.0,0.886458311897838,1.0
interview_level6_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level6_facetouch,overall,0.922795240468842,0.909905923462638,1.0,1.0,0.95286977240874,0.939560383691081
interview_level5_facetouch,0,0.903615850105642,0.981362166824869,1.0,1.0,0.920777140848245,1.0
interview_level5_facetouch,1,0.969970572482602,0.983747172343793,1.0,1.0,0.985995792162362,1.0
interview_level5_facetouch,2,0.84196565684771,0.732361870066801,1.0,1.0,1.0,0.869823922282933
interview_level5_facetouch,3,0.825214179326511,0.538461538461538,1.0,0.666666666666667,0.825214179326511,0.538461538461538
interview_level5_facetouch,4,0.886486165362117,1.0,1.0,1.0,0.886486165362117,1.0
interview_level5_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
