session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
interview_level10_facetouch,0,0.863636363636363,0.826086956521739,1.0,1.0,1.0,0.956521739130435
interview_level10_facetouch,1,1.0,0.581508515815087,1.0,0.5,1.0,0.581508515815087
interview_level10_facetouch,2,0.152317880794707,0.511111111111134,1.0,1.0,0.298013245033109,1.0
interview_level10_facetouch,3,0.936329588014981,0.769230769230769,1.0,1.0,0.936329588014981,0.769230769230769
interview_level10_facetouch,4,0.909677419354838,0.979166666666662,1.0,1.0,0.929032258064518,1.0
interview_level10_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_facetouch,overall,0.801814539884529,0.727029914529915,1.0,0.888888888888889,0.900200306350888,0.816239316239317
interview_level6_facetouch,0,0.947826086956521,0.947826086956521,1.0,1.0,0.999999999999998,0.999999999999998
interview_level6_facetouch,1,0.88981288981289,0.624817518248175,0.5,0.5,0.927234927234928,0.651094890510949
interview_level6_facetouch,2,0.476190476190477,0.333333333333333,1.0,1.0,1.0,0.699999999999998
interview_level6_facetouch,3,0.438739789964993,0.289230769230769,1.0,0.666666666666667,1.0,0.659230769230769
interview_level6_facetouch,4,0.876543209876543,0.986111111111108,1.0,1.0,0.888888888888892,1.0
interview_level6_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level6_facetouch,overall,0.797475843028988,0.648076923076922,0.875,0.777777777777778,0.95070005915993,0.772596153846154
interview_level5_facetouch,0,0.877551020408163,0.934782608695652,1.0,1.0,0.938775510204082,1.0
interview_level5_facetouch,1,0.862839879154077,0.868613138686131,0.333333333333333,0.5,0.973413897280965,0.979927007299269
interview_level5_facetouch,2,0.846153846153844,0.733333333333334,1.0,1.0,1.0,0.866666666666669
interview_level5_facetouch,3,0.810810810810804,0.538461538461538,1.0,0.666666666666667,0.810810810810804,0.538461538461538
interview_level5_facetouch,4,0.888888888888892,1.0,1.0,1.0,0.888888888888892,1.0
interview_level5_facetouch,5,1.0,1.0,1.0,1.0,1.0,1.0
interview_level5_facetouch,overall,0.862865090403337,0.828525641025641,0.777777777777778,0.777777777777778,0.862865090403337,0.828525641025641
interview_level4_facetouch,0,0.974576271186441,1.0,1.0,1.0,0.974576271186441,1.0
interview_level4_facetouch,1,1.0,0.635847526358474,1.0,1.0,1.0,0.635847526358474
interview_level4_facetouch,2,1.0,0.533333333333331,1.0,1.0,1.0,0.533333333333331
interview_level4_facetouch,3,0.786433260393879,0.921538461538461,1.0,1.0,0.853391684901539,1.0
interview_level4_facetouch,4,0.71698113207547,0.580555555555551,1.0,1.0,0.905660377358493,0.733333333333332
interview_level4_facetouch,5,0.0,1.0,0.0,1.0,0.0,1.0
interview_level4_facetouch,overall,0.837606113851431,0.70452279202279,0.9,1.0,0.898956326608381,0.756125356125355
interview_level3_facetouch,0,0.858490566037736,0.989130434782609,1.0,1.0,0.867924528301887,1.0
interview_level3_facetouch,1,0.716535433070866,0.332116788321168,1.0,0.5,1.0,0.463503649635036
interview_level3_facetouch,2,0.951219512195125,0.650000000000001,1.0,1.0,1.0,0.683333333333332
interview_level3_facetouch,3,0.826636050516606,0.923076923076923,1.0,1.0,0.895522388059657,1.0
interview_level3_facetouch,4,0.909967845659162,0.982638888888885,1.0,1.0,0.926045016077172,1.0
interview_level3_facetouch,5,0.0,1.0,0.0,1.0,0.0,1.0
interview_level3_facetouch,overall,0.773386847792527,0.669070512820512,0.888888888888889,0.888888888888889,0.773386847792527,0.669070512820512
interview_level10_openbody,0,0.0,0.0,0.0,0.0,0.75,0.5
interview_level10_openbody,1,1.0,0.543859649122816,1.0,1.0,1.0,0.543859649122816
interview_level10_openbody,2,1.0,1.0,1.0,1.0,1.0,1.0
interview_level10_openbody,3,0.942028985507173,0.942028985507176,1.0,1.0,0.999999999999997,1.0
interview_level10_openbody,4,0.943965517241421,0.701923076923078,1.0,1.0,1.0,0.743589743589712
interview_level10_openbody,5,0.930946291560104,1.0,1.0,1.0,0.930946291560104,1.0
interview_level10_openbody,overall,0.87106017191977,0.737864077669894,0.8,0.666666666666667,0.955109837631327,0.80906148867313
interview_level6_openbody,0,0.0139860139860142,0.0166666666666669,0.5,0.5,0.832167832167832,0.991666666666667
interview_level6_openbody,1,0.691489361702126,0.684210526315788,1.0,1.0,1.0,0.989473684210527
interview_level6_openbody,2,0.0,1.0,0.0,1.0,0.0,1.0
interview_level6_openbody,3,1.0,0.0,1.0,0.0,1.0,0.0
interview_level6_openbody,4,0.92739273927393,0.675480769230769,1.0,1.0,1.0,0.728365384615383
interview_level6_openbody,5,0.888671874999999,1.0,1.0,1.0,0.888671874999999,1.0
interview_level6_openbody,overall,0.503351206434316,0.607605177993528,0.666666666666667,0.666666666666667,0.750938337801608,0.906472491909385
interview_level5_openbody,0,0.139751552795032,0.5,0.5,0.5,0.279503105590063,1.0
interview_level5_openbody,1,0.526315789473677,0.350877192982448,1.0,1.0,1.0,0.666666666666659
interview_level5_openbody,2,0.0,1.0,0.0,1.0,0.0,1.0
interview_level5_openbody,3,0.291203235591506,0.626086956521739,0.333333333333333,1.0,0.291203235591506,0.626086956521739
interview_level5_openbody,4,0.948148148148149,0.615384615384616,1.0,1.0,1.0,0.649038461538461
interview_level5_openbody,5,0.798816568047387,0.494505494505495,1.0,1.0,1.0,0.619047619047581
interview_level5_openbody,overall,0.431067289396302,0.537648327939589,0.555555555555556,0.833333333333333,0.554748313440582,0.691909385113262
interview_level4_openbody,0,0.612903225806451,0.316666666666666,1.0,1.0,1.0,0.516666666666667
interview_level4_openbody,1,0.382978723404255,0.284210526315789,1.0,1.0,1.0,0.742105263157895
interview_level4_openbody,2,1.0,1.0,1.0,1.0,1.0,1.0
interview_level4_openbody,3,0.12121212121212,0.0652173913043473,1.0,1.0,1.0,0.538043478260869
interview_level4_openbody,4,0.0,0.0,0.0,0.0,1.0,0.511538461538461
interview_level4_openbody,5,1.0,0.751648351648353,1.0,1.0,1.0,0.751648351648353
interview_level4_openbody,overall,0.482504604051565,0.296763754045307,0.833333333333333,0.833333333333333,1.0,0.61504854368932
interview_level3_openbody,0,1.0,0.0,1.0,0.0,1.0,0.0
interview_level3_openbody,1,0.942148760330562,1.0,1.0,1.0,0.942148760330562,1.0
interview_level3_openbody,2,0.0,1.0,0.0,1.0,0.0,1.0
interview_level3_openbody,3,0.0,0.0,0.0,0.0,0.568749999999998,0.659420289855067
interview_level3_openbody,4,0.346153846153846,0.216346153846154,1.0,1.0,1.0,0.625
interview_level3_openbody,5,0.959731543624164,0.628571428571429,0.5,1.0,0.959731543624164,0.628571428571429
interview_level3_openbody,overall,0.4140478424015,0.380906148867314,0.428571428571429,0.5,0.663227016885551,0.610140237324702
interview_level10_eyeContact,0,1.0,0.0,1.0,0.0,1.0,0.0
interview_level10_eyeContact,1,0.816720257234727,0.742690058479532,0.333333333333333,0.666666666666667,0.884244372990353,0.804093567251462
interview_level10_eyeContact,2,0.89087656529517,0.573732718894009,1.0,0.4,0.906976744186046,0.584101382488479
interview_level10_eyeContact,3,1.67142857142857,0.869888475836432,1.0,0.8,1.71428571428571,0.892193308550186
interview_level10_eyeContact,4,0.632275132275079,0.311197916666641,1.0,0.6,0.857142857142856,0.421874999999999
interview_level10_eyeContact,5,0.919015659955276,0.896160558464241,1.0,1.0,0.919015659955276,0.896160558464241
interview_level10_eyeContact,overall,1.01753104455807,0.594790777113578,0.80952380952381,0.607142857142857,1.01753104455807,0.594790777113578
interview_level6_eyeContact,0,0.857837528604119,0.439413919413917,1.0,0.5,0.933924485125858,0.478388278388277
interview_level6_eyeContact,1,0.794270833333337,0.594541910331386,0.6,1.0,0.794270833333337,0.594541910331386
interview_level6_eyeContact,2,0.862068965517239,0.230414746543774,1.0,0.4,0.862068965517239,0.230414746543774
interview_level6_eyeContact,3,1.26659528907923,0.879553903345725,1.0,0.4,1.26659528907923,0.879553903345725
interview_level6_eyeContact,4,0.670382165605171,0.548177083333359,0.75,0.6,0.786624203821673,0.643229166666638
interview_level6_eyeContact,5,0.755572346052136,1.04712041884817,1.0,0.5,0.755572346052136,1.04712041884817
interview_level6_eyeContact,overall,0.883696863106593,0.635456061160589,0.833333333333333,0.535714285714286,0.912713268601093,0.6563214184051
interview_level5_eyeContact,0,0.842105263157895,0.109401709401709,0.5,0.25,1.0,0.12991452991453
interview_level5_eyeContact,1,0.637404580152671,0.32553606237817,0.333333333333333,0.333333333333333,0.954198473282443,0.48732943469786
interview_level5_eyeContact,2,0.849122807017542,0.743471582181258,1.0,0.4,0.849122807017542,0.743471582181258
interview_level5_eyeContact,3,1.06507177033493,0.689591078066915,0.75,0.6,1.06507177033493,0.689591078066915
interview_level5_eyeContact,4,0.645429362880888,0.455078125,0.666666666666667,0.4,0.818559556786705,0.577148437499999
interview_level5_eyeContact,5,0.741418764302062,0.848167539267017,1.0,0.666666666666667,0.741418764302062,0.848167539267017
interview_level5_eyeContact,overall,0.819879070754217,0.550028465698833,0.722222222222222,0.464285714285714,0.819879070754217,0.550028465698833
interview_level4_eyeContact,0,0.68392370572207,0.429059829059831,1.0,0.5,0.68392370572207,0.429059829059831
interview_level4_eyeContact,1,1.0,0.166666666666667,1.0,0.333333333333333,1.0,0.166666666666667
interview_level4_eyeContact,2,0.76978417266187,0.493087557603686,1.0,0.8,0.787769784172662,0.504608294930875
interview_level4_eyeContact,3,1.0,0.0,1.0,0.0,1.0,0.0
interview_level4_eyeContact,4,1.0,0.0,1.0,0.0,1.0,0.0
