session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
fullHandGesture1x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture1x,1,0.0,0.0,0.0,0.0,0.0,0.0
fullHandGesture1x,2,0.812646370023477,0.963888888888889,1.0,0.5,0.839578454332577,0.995833333333292
fullHandGesture1x,3,0.916398713826425,0.274038461538451,0.5,0.5,0.916398713826425,0.274038461538451
fullHandGesture1x,4,0.676311030741391,0.228048780487807,0.25,1.0,0.676311030741391,0.228048780487807
fullHandGesture1x,5,0.884090909090936,0.486249999999979,1.0,0.666666666666667,0.884090909090936,0.486249999999979
fullHandGesture1x,6,0.453947368421228,0.143750000000037,0.333333333333333,1.0,0.453947368421228,0.143750000000037
fullHandGesture1x,7,0.687739463601557,0.306837606837647,0.333333333333333,1.0,0.687739463601557,0.306837606837647
fullHandGesture1x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture1x,9,0.933852140078266,0.242424242424203,0.666666666666667,0.666666666666667,0.933852140078266,0.242424242424203
fullHandGesture1x,overall,0.605509798352792,0.0229543496985358,0.277777777777778,0.666666666666667,0.605509798352792,0.0229543496985358
fullHandGesture2x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture2x,1,0.0,0.0,0.0,0.0,0.0,0.0
fullHandGesture2x,2,1.0,1.0,1.0,0.0
fullHandGesture2x,3,0.876923076923184,0.438461538461543,1.0,1.0,0.973076923076998,0.486538461538445
fullHandGesture2x,4,0.659420289855133,0.443902439024415,0.5,1.0,0.659420289855133,0.443902439024415
fullHandGesture2x,5,0.869369369369408,0.965000000000001,1.0,0.333333333333333,0.869369369369408,0.965000000000001
fullHandGesture2x,6,1.0,1.0,1.0,0.0
fullHandGesture2x,7,0.947916666666667,0.466666666666667,0.5,1.0,0.947916666666667,0.466666666666667
fullHandGesture2x,8,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture2x,9,1.0,0.163636363636204,0.5,0.333333333333333,1.0,0.163636363636204
fullHandGesture2x,overall,0.799809342230744,0.0433591731266099,0.4,0.4,0.799809342230744,0.0433591731266099
fullHandGesture5x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,1,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,2,1.0,1.0,1.0,0.0
fullHandGesture5x,3,0.927272727272729,0.772727272727276,1.0,1.0,1.0,0.833333333333336
fullHandGesture5x,4,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture5x,5,0.844444444444473,0.926829268292683,1.0,0.5,0.844444444444473,0.926829268292683
fullHandGesture5x,6,1.0,1.0,1.0,0.0
fullHandGesture5x,7,0.887500000000054,0.91025641025641,1.0,1.0,0.97500000000006,1.0
fullHandGesture5x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,9,0.968750000000313,0.227941176470628,1.0,1.0,1.0,0.235294117647024
fullHandGesture5x,overall,0.617250673854504,0.0730229591836745,0.625,0.555555555555556,0.762803234501383,0.0902423469387727
fullHandGesture10x,0,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,1,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,2,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,3,0.599999999999985,0.727272727272728,1.0,1.0,0.824999999999979,1.0
fullHandGesture10x,4,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,5,0.0425531914893614,0.333333333333337,1.0,1.0,0.127659574468083,1.0
fullHandGesture10x,6,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,7,1.0,1.0,1.0,0.0
fullHandGesture10x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture10x,9,0.722222222222222,0.649999999999999,1.0,1.0,1.0,0.899999999999999
fullHandGesture10x,overall,0.336206896551718,0.0994897959183664,0.75,0.75,0.586206896551714,0.1734693877551
rabbitHandGesture1x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,overall,1.0,1.0,1.0,1.0,1.0,1.0
