session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
fullHandGesture1x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture1x,1,0.0177236378068973,0.110916815802923,0.25,1.0,0.0177236378068973,0.110916815802923
fullHandGesture1x,2,0.697344245854078,0.965914288234833,1.0,0.5,0.721952511054003,1.0
fullHandGesture1x,3,0.949343148964143,0.565021147237635,1.0,0.5,1.0,0.595170616498519
fullHandGesture1x,4,0.680775933991732,0.983794881296756,1.0,1.0,0.691989709373554,1.0
fullHandGesture1x,5,0.866596155974677,0.973336195408226,1.0,0.333333333333333,0.866596155974677,0.973336195408226
fullHandGesture1x,6,0.407692892073973,0.5,0.5,0.5,0.443366020130445,0.543749999999999
fullHandGesture1x,7,0.691246147086754,0.303160035116513,0.333333333333333,1.0,0.691246147086754,0.303160035116513
fullHandGesture1x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture1x,9,0.937339623884727,0.255429667785364,0.666666666666667,0.666666666666667,0.937339623884727,0.255429667785364
fullHandGesture1x,overall,0.568159438675373,0.0388696230558319,0.409090909090909,0.6,0.568159438675373,0.0388696230558319
fullHandGesture2x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture2x,1,0.0200422340195886,0.0563305534495484,0.25,1.0,0.0200422340195886,0.0563305534495484
fullHandGesture2x,2,1.0,1.0,1.0,0.0
fullHandGesture2x,3,0.862645858992721,0.923967197831742,1.0,0.5,0.862645858992721,0.923967197831742
fullHandGesture2x,4,0.681349910351483,0.968184449410244,1.0,1.0,0.703739778888741,1.0
fullHandGesture2x,5,0.873881850825803,0.9699993063069,1.0,0.333333333333333,0.873881850825803,0.9699993063069
fullHandGesture2x,6,1.0,1.0,1.0,0.0
fullHandGesture2x,7,0.946699353839155,0.949918062709436,1.0,1.0,0.996611593150361,1.0
fullHandGesture2x,8,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture2x,9,1.0,0.18233148247003,0.5,0.333333333333333,1.0,0.18233148247003
fullHandGesture2x,overall,0.779984228412749,0.056798395822944,0.5,0.4,0.779984228412749,0.056798395822944
fullHandGesture5x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,1,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,2,1.0,1.0,1.0,0.0
fullHandGesture5x,3,0.956130336151969,0.803458937208167,1.0,1.0,1.0,0.840323653406666
fullHandGesture5x,4,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture5x,5,0.894278847564348,0.895973900256488,1.0,0.5,0.894278847564348,0.895973900256488
fullHandGesture5x,6,1.0,1.0,1.0,0.0
fullHandGesture5x,7,0.910331736655592,0.862221833735704,1.0,1.0,1.0,0.947151240605282
fullHandGesture5x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,9,1.0,0.220290769414265,1.0,1.0,1.0,0.220290769414265
fullHandGesture5x,overall,0.586130284068888,0.0713364149708214,0.625,0.555555555555556,0.775117848200995,0.0943376071386504
fullHandGesture10x,0,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,1,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,2,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,3,0.535977056513876,0.739296605364091,1.0,1.0,0.724982439558094,1.0
fullHandGesture10x,4,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,5,0.0215175169414764,0.167292494723666,1.0,1.0,0.12862212962404,1.0
fullHandGesture10x,6,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,7,1.0,1.0,1.0,0.0
fullHandGesture10x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture10x,9,0.689123021771427,0.624689564068699,1.0,1.0,1.0,0.906499339498051
fullHandGesture10x,overall,0.301243924459838,0.0966692199661505,0.75,0.75,0.577347903250424,0.185271027644416
rabbitHandGesture1x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,overall,1.0,1.0,1.0,1.0,1.0,1.0
