session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
fullHandGesture1x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture1x,1,0.0,0.0,0.0,0.0,0.0,0.0
fullHandGesture1x,2,0.705678419621947,0.965866728200361,1.0,0.5,0.730616760074957,1.0
fullHandGesture1x,3,0.942499768697282,0.564071813795058,1.0,0.5,1.0,0.59848482994825
fullHandGesture1x,4,0.680501885335868,0.984017190637268,1.0,1.0,0.691554875067947,1.0
fullHandGesture1x,5,0.866758790484503,0.973764874185601,1.0,0.333333333333333,0.866758790484503,0.973764874185601
fullHandGesture1x,6,0.426224842879211,0.5,0.5,0.5,0.463519516631141,0.543749999999999
fullHandGesture1x,7,0.691313704916881,0.303434542207513,0.333333333333333,1.0,0.691313704916881,0.303434542207513
fullHandGesture1x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture1x,9,0.936671227209332,0.253859207252727,0.666666666666667,0.666666666666667,0.936671227209332,0.253859207252727
fullHandGesture1x,overall,0.574211986822761,0.037079902135559,0.347826086956522,0.533333333333333,0.574211986822761,0.037079902135559
fullHandGesture2x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture2x,1,0.0103235470375914,0.0246762589927982,0.25,1.0,0.0103235470375914,0.0246762589927982
fullHandGesture2x,2,1.0,1.0,1.0,0.0
fullHandGesture2x,3,0.861702189834332,0.921044772795042,1.0,0.5,0.861702189834332,0.921044772795042
fullHandGesture2x,4,0.681402421180975,0.966912287607707,1.0,1.0,0.704719993647895,1.0
fullHandGesture2x,5,0.873889839585781,0.96999813121495,1.0,0.333333333333333,0.873889839585781,0.96999813121495
fullHandGesture2x,6,1.0,1.0,1.0,0.0
fullHandGesture2x,7,0.947678916824314,0.954336079235282,1.0,1.0,0.993024299766281,1.0
fullHandGesture2x,8,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture2x,9,1.0,0.176390068345637,0.5,0.333333333333333,1.0,0.176390068345637
fullHandGesture2x,overall,0.787113630263207,0.0566205471133125,0.5,0.4,0.787113630263207,0.0566205471133125
fullHandGesture5x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,1,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,2,1.0,1.0,1.0,0.0
fullHandGesture5x,3,0.950464579136372,0.80175024337703,1.0,1.0,1.0,0.843535110067469
fullHandGesture5x,4,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture5x,5,0.872195809896014,0.896009466919159,1.0,0.5,0.872195809896014,0.896009466919159
fullHandGesture5x,6,1.0,1.0,1.0,0.0
fullHandGesture5x,7,0.908113005830748,0.868097594776691,1.0,1.0,1.0,0.95593564809982
fullHandGesture5x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,9,1.0,0.227078741783089,1.0,1.0,1.0,0.227078741783089
fullHandGesture5x,overall,0.588072911927535,0.0717419048550181,0.625,0.555555555555556,0.771991446575861,0.0941790308409206
fullHandGesture10x,0,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,1,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,2,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,3,0.538899602812344,0.736635512474061,1.0,1.0,0.731568860972231,1.0
fullHandGesture10x,4,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,5,0.0216046621595786,0.167908224076338,1.0,1.0,0.128669469756027,1.0
fullHandGesture10x,6,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture10x,7,1.0,1.0,1.0,0.0
fullHandGesture10x,8,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture10x,9,0.656431897555279,0.5966931216931,1.0,1.0,1.0,0.908994708994701
fullHandGesture10x,overall,0.300748677868298,0.0950262339029695,0.75,0.75,0.574194431609265,0.181425683233689
rabbitHandGesture1x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,overall,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,0,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,overall,1.0,1.0,1.0,1.0,1.0,1.0
