session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
fullHandGesture1x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture1x,1,0.57822794768414,0.21,0.25,0.2,0.57822794768414,0.21
fullHandGesture1x,2,0.914049586776859,0.18515625,0.75,1.0,0.914049586776859,0.18515625
fullHandGesture1x,3,1.02230999510548,0.0648001443001424,0.333333333333333,0.666666666666667,1.02230999510548,0.0648001443001424
fullHandGesture1x,4,1.0,0.232627118644068,0.5,1.0,1.0,0.232627118644068
fullHandGesture1x,5,1.0,1.0,1.0,0.0
fullHandGesture1x,6,0.921913529508466,0.163498542274053,0.428571428571429,0.75,0.921913529508466,0.163498542274053
fullHandGesture1x,7,0.983733860221477,0.250397660818712,0.4,1.0,0.983733860221477,0.250397660818712
fullHandGesture1x,8,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture1x,9,0.932723753587402,0.176452020202022,1.0,0.8,0.991657211506368,0.187601010101011
fullHandGesture1x,overall,0.808604356063899,0.0161378976348669,0.369565217391304,0.586206896551724,0.808604356063899,0.0161378976348669
fullHandGesture2x,0,1.0,1.0,1.0,1.0,1.0,1.0
fullHandGesture2x,1,1.0,1.0,1.0,0.0
fullHandGesture2x,2,0.954420489075387,0.747845804988661,1.0,0.333333333333333,0.954420489075387,0.747845804988661
fullHandGesture2x,3,0.896998234255444,0.138545454545455,0.5,0.666666666666667,0.958308809103384,0.14801515151515
fullHandGesture2x,4,1.0,0.168684422921712,1.0,1.0,1.0,0.168684422921712
fullHandGesture2x,5,0.687116564417201,0.0806584362140002,0.666666666666667,0.5,0.789658194566185,0.0926954732510371
fullHandGesture2x,6,1.48049132947977,0.0696938775510204,0.333333333333333,0.5,1.48049132947977,0.0696938775510204
fullHandGesture2x,7,0.95766590389016,0.367105263157895,0.5,1.0,0.95766590389016,0.367105263157895
fullHandGesture2x,8,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture2x,9,1.0,1.0,1.0,0.0
fullHandGesture2x,overall,0.760361660861144,0.0255326338838405,0.5,0.379310344827586,0.760361660861144,0.0255326338838405
fullHandGesture5x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture5x,1,0.271705822267619,0.316666666666675,0.5,0.2,0.271705822267619,0.316666666666675
fullHandGesture5x,2,1.0,1.0,1.0,0.0
fullHandGesture5x,3,0.949324324324325,0.383181818181818,1.0,0.666666666666667,1.0,0.403636363636364
fullHandGesture5x,4,0.982905982905983,0.974576271186441,1.0,0.5,0.982905982905983,0.974576271186441
fullHandGesture5x,5,1.0,0.231387953610176,1.0,0.25,1.0,0.231387953610176
fullHandGesture5x,6,0.94088669950739,0.974489795918367,1.0,0.25,0.94088669950739,0.974489795918367
fullHandGesture5x,7,1.0,0.116374269005848,0.4,1.0,1.0,0.116374269005848
fullHandGesture5x,8,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture5x,9,1.0,1.0,1.0,0.0
fullHandGesture5x,overall,0.770198303599167,0.033410681885883,0.5,0.275862068965517,0.770198303599167,0.033410681885883
fullHandGesture10x,0,0.0,1.0,0.0,1.0,0.0,1.0
fullHandGesture10x,1,1.0,1.0,1.0,0.0
fullHandGesture10x,2,0.947916666666667,0.325,1.0,0.666666666666667,0.947916666666667,0.325
fullHandGesture10x,3,1.0,1.0,1.0,0.0
fullHandGesture10x,4,0.974662162162163,0.325988700564974,1.0,1.0,0.974662162162163,0.325988700564974
fullHandGesture10x,5,1.0,1.0,1.0,0.0
fullHandGesture10x,6,1.0,1.0,1.0,0.0
fullHandGesture10x,7,1.0,1.0,1.0,0.0
fullHandGesture10x,8,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture10x,9,0.937499999999999,0.227272727272726,1.0,0.4,0.937499999999999,0.227272727272726
fullHandGesture10x,overall,0.634054562558795,0.0240929401251118,0.6,0.206896551724138,0.717074317968015,0.0272475424486149
rabbitHandGesture1x,0,0.0,1.0,0.0,1.0,0.0,1.0
rabbitHandGesture1x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture1x,overall,0.9,0.1,0.9,1.0,0.9,0.1
rabbitHandGesture2x,0,0.0,1.0,0.0,1.0,0.0,1.0
rabbitHandGesture2x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture2x,overall,0.9,0.1,0.9,1.0,0.9,0.1
rabbitHandGesture5x,0,0.0,1.0,0.0,1.0,0.0,1.0
rabbitHandGesture5x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture5x,overall,0.9,0.1,0.9,1.0,0.9,0.1
rabbitHandGesture10x,0,0.0,1.0,0.0,1.0,0.0,1.0
rabbitHandGesture10x,1,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,2,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,3,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,4,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,5,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,6,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,7,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,8,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,9,1.0,1.0,1.0,1.0,1.0,1.0
rabbitHandGesture10x,overall,0.9,0.1,0.9,1.0,0.9,0.1
