session,clip,area,,count,,aligned,
,,precision,recall,precision,recall,precision,recall
fullHandGesture1x,0,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture1x,1,0.904705246078958,0.1394,0.2,1.0,0.904705246078958,0.1394
fullHandGesture1x,2,0.985680190930788,0.882478632478635,1.0,0.5,0.985680190930788,0.882478632478635
fullHandGesture1x,3,1.0,0.410252463054187,0.5,0.5,1.0,0.410252463054187
fullHandGesture1x,4,0.94299341358165,0.24626334519573,0.25,1.0,0.94299341358165,0.24626334519573
fullHandGesture1x,5,0.99677277657753,0.45421160130719,1.0,0.666666666666667,0.99677277657753,0.45421160130719
fullHandGesture1x,6,0.901101939255106,0.1650390625,0.333333333333333,1.0,0.901101939255106,0.1650390625
fullHandGesture1x,7,0.971939265808188,0.330522875816993,0.333333333333333,1.0,0.971939265808188,0.330522875816993
fullHandGesture1x,8,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture1x,9,1.0,0.0,0.0,0.0,1.0,0.0
fullHandGesture1x,overall,5.95076515356323,0.168988327459658,0.382352941176471,0.764705882352941,5.95076515356323,0.168988327459658
fullHandGesture2x,0,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture2x,1,0.959124087591241,0.16425,0.25,1.0,0.959124087591241,0.16425
fullHandGesture2x,2,1.0,0.0,0.0,0.0,1.0,0.0
fullHandGesture2x,3,0.991897044804576,0.448491379310345,1.0,1.0,1.0,0.452155172413793
fullHandGesture2x,4,1.0,0.476512455516014,0.5,1.0,1.0,0.476512455516014
fullHandGesture2x,5,0.987413467589679,0.922941176470588,1.0,0.333333333333333,0.987413467589679,0.922941176470588
fullHandGesture2x,6,1.0,0.0,0.0,0.0,1.0,0.0
fullHandGesture2x,7,0.99883330902727,0.497385620915033,0.5,1.0,0.99883330902727,0.497385620915033
fullHandGesture2x,8,1.0,1.0,0.0,0.0,1.0,1.0
fullHandGesture2x,9,0.991494269444244,0.486042402826855,0.5,0.333333333333333,1.0,0.490212014134276
fullHandGesture2x,overall,5.80727061483169,0.24408628246992,0.722222222222222,0.764705882352941,5.80727061483169,0.24408628246992
fullHandGesture5x,0,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture5x,1,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture5x,2,1.0,0.0,0.0,0.0,1.0,0.0
fullHandGesture5x,3,1.0,0.992957746478873,1.0,1.0,1.0,0.992957746478873
fullHandGesture5x,4,1.0,1.0,0.0,0.0,1.0,1.0
fullHandGesture5x,5,0.979260834884339,0.909382716049382,1.0,0.5,0.979260834884339,0.909382716049382
fullHandGesture5x,6,1.0,0.0,0.0,0.0,1.0,0.0
fullHandGesture5x,7,1.0,0.960421205519245,1.0,1.0,1.0,0.960421205519245
fullHandGesture5x,8,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture5x,9,0.982518256251383,0.49597855227882,1.0,1.0,0.990484620491259,0.5
fullHandGesture5x,overall,4.52328359893883,0.432400932400932,0.727272727272727,0.615384615384615,4.52328359893883,0.432400932400932
fullHandGesture10x,0,1.0,1.0,0.0,0.0,1.0,1.0
fullHandGesture10x,1,1.0,1.0,0.0,0.0,1.0,1.0
fullHandGesture10x,2,1.0,1.0,0.0,0.0,1.0,1.0
fullHandGesture10x,3,0.972602739726028,1.0,1.0,1.0,0.972602739726028,1.0
fullHandGesture10x,4,1.0,1.0,0.0,0.0,1.0,1.0
fullHandGesture10x,5,0.864285714285714,1.0,1.0,1.0,0.864285714285714,1.0
fullHandGesture10x,6,1.0,1.0,0.0,0.0,1.0,1.0
fullHandGesture10x,7,1.0,0.0,0.0,0.0,1.0,0.0
fullHandGesture10x,8,0.0,1.0,0.0,0.0,0.0,1.0
fullHandGesture10x,9,0.973591549295775,1.0,1.0,1.0,0.973591549295775,1.0
fullHandGesture10x,overall,3.07694622792937,0.334653573376978,0.4,0.4,3.07694622792937,0.334653573376978
rabbitHandGesture1x,0,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,1,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,2,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,3,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,4,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,5,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,6,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,7,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,8,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,9,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture1x,overall,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,0,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,1,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,2,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,3,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,4,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,5,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,6,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,7,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,8,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,9,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture2x,overall,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,0,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,1,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,2,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,3,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,4,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,5,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,6,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,7,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,8,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,9,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture5x,overall,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,0,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,1,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,2,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,3,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,4,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,5,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,6,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,7,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,8,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,9,1.0,1.0,0.0,0.0,1.0,1.0
rabbitHandGesture10x,overall,1.0,1.0,0.0,0.0,1.0,1.0
